rank,stadium,capacity,region,country,city,images,home_team,location
205,Shizuoka,50889,East,Japan,"Fukuroi,",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/150px-Ecopa030304.jpg,Júbilo,"[34.9332488, 138.0955398]"
206,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/150px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria,"[48.20718935, 16.4209170657]"
207,Huntington,50805,North,United,Minneapolis,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MNUFCTCF.jpeg/150px-MNUFCTCF.jpeg,Minnesota,"[40.3842083, -79.822453]"
208,Estadio,50754,North,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/150px-Rampa_norte.jpg,Puebla,"[18.833333, -98.0]"
209,Strawberry,50653,Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/150px-FriendsArena_SwedenSpain.jpg,Sweden,"[59.37250385, 18.0016672389]"
210,Ülker,50509,West,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/150px-Sukrusaracoglu.jpg,Fenerbahçe,"[37.1099669, 40.417374]"
211,Stanford,50424,North,United,Palo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/150px-2008-1115-006-USC-Stanford-PAN.jpg,Text esta vazio,"[None, None]"
212,Stade,50186,Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/150px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille,"[50.6193174, 3.1314002]"
213,Stade,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/150px-Stade_Roi_Baudouin.JPG,Belgium,"[50.8939211, 4.3323896]"
214,Shaanxi,50100,East,China,"Xi'an,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[35.5895959, 109.3013107]"
215,Ajinomoto,50100,East,Japan,"Chofu,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/150px-Ajinomoto_Stadium_2018-13.jpg,FC,"[33.2267992, 130.3632835334]"
216,Estádio,50095,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/150px-Alvalade0023.jpg,Sporting,"[38.7077507, -9.1365919]"
217,Estádio,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/150px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC,"[41.1494512, -8.6107884]"
218,Casa,50025,South,Brazil,"Salvador,",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/150px-Arena_Fonte_Nova_External_View.jpg,EC,"[-18.79120755, -40.98939155]"
219,Stade,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/150px-Stade_olympique_de_Sousse.jpg,Étoile,"[32.8733745, 10.3805841358]"
220,RheinEnergieSTADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/150px-FIFA_WM06_Stadion_Koeln.jpg,1.,"[50.9335055, 6.8751167403]"
221,Harbin,50000,East,China,"Harbin,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[45.7593633, 126.6276177]"
222,Greenfield,50000,South,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/150px-Greenfield_International_Stadium_Kerala.jpg,Text esta vazio,"[25.6341317, 80.4784616854]"
223,EMS,50000,South,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/150px-Kozhikode_EMS_Stadium.jpg,India,"[13.007644, 77.565718]"
224,KD,50000,South,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/150px-K_D_Singh_Babu_Stadium.jpg,Text esta vazio,"[28.680475, 78.788454]"
225,Eden,50000,Oceania,New,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/150px-Auckland_EdenPark.jpg,Auckland,"[42.6523734, -78.8954064]"
226,Estádio,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/150px-Football_stadium_%286178263468%29.jpg,Angola,"[-14.938151, 13.543274]"
227,Henan,50000,East,China,"Zhengzhou,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[34.0000001, 113.9999999]"
228,Jiangxi,50000,East,China,"Nanchang,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[28.0, 116.0]"
229,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/150px-Frankenstadion_2.JPG,1.,"[49.42625695, 11.1256705957]"
230,June,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/150px-11_June_Stadium_BenTaher.jpg,"Libya,","[32.85990575, 13.1359000473]"
231,Xinjiang,50000,East,China,"Urumqi,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Text esta vazio,"[42.4804953, 85.4633464]"
232,Kim,50000,East,North,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/150px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang,"[51.7810595, 6.1284824891]"
233,EDION,50000,East,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/150px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce,"[35.0189684, 135.7304830796]"
234,Pars,50000,West,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/150px-Pars_Stadium_Photos_Image_6.jpg,Fajr,"[32.6475314, 54.5643516]"
235,Stade,50000,Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/150px-Stade_du_26-mars.png,Stade,"[36.8788833, 10.3199005]"
